texto,clase
"Aristóteles Núñez, de ex jefe del SAT a consultor independiente",real
"Francisco Labastida, de ex candidato presidencial a crítico de Peña Nieto",real
"Purificación Carpinteyro, de ex candidata a la CdMx a directora de empresa mexicana",real
"José Antonio Meade, de ex candidato presidencial a conferencista y asesor financiero",real
No se atreven a satanizar a Milanés,real
Política y futbol,real
Salvaguardando la imparcialidad del INE,real
"Monreal, el Ejército y Morena",real
Por mis hijas y mis hijos. Por mis nietos,real
"Es por Biden, no por él",real
Trascendió,real
El ahuehuete ha muerto,real
"Desde juguetes sexuales hasta mochilas, los objetos perdidos en el AICM y AIFA",real
Delgado llama a acudir a la marcha de AMLO,real
Lilly Téllez comparte 'whats' y correos para contactarla,real
Cumbre de la Alianza del Pacífico se pospone,real
En México hay 350 mil niños con padres recluidos en Ceresos,real
"PAN, PRI y PRD en San Lázaro reactivan Va por México",real
Senadores organizan baile en antigua sede legislativa,real
Revisa cuándo entregarán boletas y suspenderán clases en noviembre,real
Inseguridad en Colima es por cantidad de población: Semar,real
INE niega medidas cautelares a diputada de MC por violencia política de género,real
Senadores de la 4T invitan a ciudadanos a participar en la marcha del próximo domingo,real
Tribunal Electoral instruye a Diputados atender pleito entre Castell y Clemente Moreno,real
Tribunal ordena a Layda Sansores disculparse con diputadas del PRI por extorsionarlas con foto...,real
"AMLO se reúne con Gabriel Boric, presidente de Chile",real
Sheinbaum violó la ley al apoyar a Américo Villarreal en contienda por Tamaulipas: TEPJF,real
"En San Lázaro, presentan dictamen en reforma electoral; va Morena contra INE",real
Nos acercamos al autoritarismo cuando un gobernante se aleja de la ley: Monreal,real
AMLO presume mil reuniones de gabinete de seguridad “para garantizar la paz”,real
El enemigo a derrotar es la corrupción y la injusticia: Semar,real
Cofepris endurece control de precursores químicos,real
"En la marcha en defensa del INE “hubo mucho robo de carteras”, bromea AMLO",real
"“Llámenle como quieran”: AMLO convoca a marcha, desfile o acarreo para celebrar la 4T",real
AMLO reveló que dueño de OXXO pagó hasta 13 mil mdp que debía en impuestos,real
"Marcha del domingo puede ser la última a la que asista, dice AMLO",real
Quienes están contra reforma electoral repudian al pueblo: gobernadora de Colima,real
"AMLO enviará ""en estos días"" reforma electoral a Cámara de Diputados",real
¿Hay clases este viernes 25 de noviembre? Esto dice la SEP,real
Desahogarán juicios políticos contra Gertz y Córdova tras casos rezagados de 2003 a 2021,real
Grupo élite de Sedena auxilió a estados en 102 ataques del crimen,real
Busca Morena ahorro de 700 mdp con reubicación de módulos de INE en escuelas,real
"“Es revancha política”, dice Corral tras detención de ex fiscal anticorrupción",real
Monreal rechaza ser ‘caballo de Troya’ de la oposición para 2024,real
Presume CdMx recepción de inversión extranjera directa,real
"“Ya no estamos en tiempo de una reforma electoral”, advierte diputado del PAN",real
"Gabriel Boric, presidente de Chile, llega a México",real
Senado presentará proyecto de decreto para elección extraordinaria en Tamaulipas,real
Avanza en San Lázaro ley para fortalecer al IMSS Bienestar,real
Casos de meningitis aséptica en Durango siguen sin esclarecerse: IMSS,real
